date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:25	43205/43205	---M-Z	200	added ('OK')	text/html	etag:%224ca532a-a8c5-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-ajax-load.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-ajax-load.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:26	44109/44109	---M-Z	200	added ('OK')	text/html	etag:%224ca532b-ac4d-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-ajax-modal.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-ajax-modal.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:26	50711/50711	---M-Z	200	added ('OK')	text/html	etag:%224ca533a-c617-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-2.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-2.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:26	50709/50709	---M-Z	200	added ('OK')	text/html	etag:%224ca533b-c615-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-3.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-3.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:27	50711/50711	---M-Z	200	added ('OK')	text/html	etag:%224ca533c-c617-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-4.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-4.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:27	50710/50710	---M-Z	200	added ('OK')	text/html	etag:%224ca533d-c616-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-5.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-5.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:27	50710/50710	---M-Z	200	added ('OK')	text/html	etag:%224ca533e-c616-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-6.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-6.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:28	50758/50758	---M-Z	200	added ('OK')	text/html	etag:%224ca533f-c646-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-nm-2.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-nm-2.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:28	50757/50757	---M-Z	200	added ('OK')	text/html	etag:%224ca5340-c645-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-nm-3.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-nm-3.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:29	50756/50756	---M-Z	200	added ('OK')	text/html	etag:%224ca5342-c644-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-nm-5.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-nm-5.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:29	50758/50758	---M-Z	200	added ('OK')	text/html	etag:%224ca5341-c646-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-nm-4.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-title-nm-4.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:30	45128/45128	---M-Z	200	added ('OK')	text/html	etag:%224ca5331-b048-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-2.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-2.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:30	46138/46138	---M-Z	200	added ('OK')	text/html	etag:%224ca5332-b43a-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-3.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-3.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:30	45138/45138	---M-Z	200	added ('OK')	text/html	etag:%224ca5333-b052-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-4.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-4.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:31	47154/47154	---M-Z	200	added ('OK')	text/html	etag:%224ca5334-b832-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-5.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-5.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:31	45137/45137	---M-Z	200	added ('OK')	text/html	etag:%224ca5335-b051-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-6.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-6.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:32	45127/45127	---M-Z	200	added ('OK')	text/html	etag:%224ca5336-b047-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-nm-2.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-nm-2.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:32	46143/46143	---M-Z	200	added ('OK')	text/html	etag:%224ca5337-b43f-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-nm-3.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-nm-3.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:33	45128/45128	---M-Z	200	added ('OK')	text/html	etag:%224ca5338-b048-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-nm-4.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-nm-4.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:33	47147/47147	---M-Z	200	added ('OK')	text/html	etag:%224ca5339-b82b-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-nm-5.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-grid-fw-nm-5.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:33	46294/46294	---M-Z	200	added ('OK')	text/html	etag:%224ca5343-b4d6-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-masonry-2.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-masonry-2.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:33	46309/46309	---M-Z	200	added ('OK')	text/html	etag:%224ca5344-b4e5-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-masonry-3.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-masonry-3.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:34	46308/46308	---M-Z	200	added ('OK')	text/html	etag:%224ca5345-b4e4-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-masonry-4.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-masonry-4.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:34	42792/42792	---M-Z	200	added ('OK')	text/html	etag:%224ca5346-a728-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-mosaic-contained.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-mosaic-contained.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:35	42788/42788	---M-Z	200	added ('OK')	text/html	etag:%224ca5347-a724-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-mosaic-full.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-mosaic-full.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:35	44366/44366	---M-Z	200	added ('OK')	text/html	etag:%224ca5348-ad4e-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-single-gallery.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-single-gallery.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:35	44175/44175	---M-Z	200	added ('OK')	text/html	etag:%224ca5349-ac8f-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/folio-single-video.html	bootstraplovers.com/assan-v3.6/classic-template/html/folio-single-video.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:36	43217/43217	---M-Z	200	added ('OK')	text/html	etag:%224ca4f23-a8d1-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/blog-contained.html	bootstraplovers.com/assan-v3.6/classic-template/html/blog-contained.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:36	46275/46275	---M-Z	200	added ('OK')	text/html	etag:%224ca4f27-b4c3-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/blog-sidebar-left.html	bootstraplovers.com/assan-v3.6/classic-template/html/blog-sidebar-left.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:37	46379/46379	---M-Z	200	added ('OK')	text/html	etag:%224ca4f28-b52b-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/blog-sidebar-right.html	bootstraplovers.com/assan-v3.6/classic-template/html/blog-sidebar-right.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:37	44832/44832	---M-Z	200	added ('OK')	text/html	etag:%224ca4f26-af20-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/blog-masonry.html	bootstraplovers.com/assan-v3.6/classic-template/html/blog-masonry.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:37	48318/48318	---M-Z	200	added ('OK')	text/html	etag:%224ca4f25-bcbe-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/blog-masonry-sidebar.html	bootstraplovers.com/assan-v3.6/classic-template/html/blog-masonry-sidebar.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:38	46283/46283	---M-Z	200	added ('OK')	text/html	etag:%224ca4f24-b4cb-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/blog-lg-post-grid.html	bootstraplovers.com/assan-v3.6/classic-template/html/blog-lg-post-grid.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:38	39795/39795	---M-Z	200	added ('OK')	text/html	etag:%224ca4f29-9b73-55a4439781400-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/blog-timeline.html	bootstraplovers.com/assan-v3.6/classic-template/html/blog-timeline.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:39	45508/45508	---M-Z	200	added ('OK')	text/html	etag:%224ca5491-b1c4-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/post-image.html	bootstraplovers.com/assan-v3.6/classic-template/html/post-image.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:39	46028/46028	---M-Z	200	added ('OK')	text/html	etag:%224ca5490-b3cc-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/post-gallery.html	bootstraplovers.com/assan-v3.6/classic-template/html/post-gallery.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:39	45722/45722	---M-Z	200	added ('OK')	text/html	etag:%224ca5492-b29a-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/post-video.html	bootstraplovers.com/assan-v3.6/classic-template/html/post-video.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:40	45666/45666	---M-Z	200	added ('OK')	text/html	etag:%224ca5354-b262-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/header-dark-top-bar.html	bootstraplovers.com/assan-v3.6/classic-template/html/header-dark-top-bar.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:41	45655/45655	---M-Z	200	added ('OK')	text/html	etag:%224ca5355-b257-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/header-light-top-bar.html	bootstraplovers.com/assan-v3.6/classic-template/html/header-light-top-bar.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:41	43040/43040	---M-Z	200	added ('OK')	text/html	etag:%224ca5359-a820-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/header-transparent-dark.html	bootstraplovers.com/assan-v3.6/classic-template/html/header-transparent-dark.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:41	43125/43125	---M-Z	200	added ('OK')	text/html	etag:%224ca535a-a875-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/header-transparent-light.html	bootstraplovers.com/assan-v3.6/classic-template/html/header-transparent-light.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:41	43010/43010	---M-Z	200	added ('OK')	text/html	etag:%224ca5352-a802-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/header-center-logo.html	bootstraplovers.com/assan-v3.6/classic-template/html/header-center-logo.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:42	42935/42935	---M-Z	200	added ('OK')	text/html	etag:%224ca5353-a7b7-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/header-center-navbar.html	bootstraplovers.com/assan-v3.6/classic-template/html/header-center-navbar.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:42	42926/42926	---M-Z	200	added ('OK')	text/html	etag:%224ca5357-a7ae-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/header-sticky-dark.html	bootstraplovers.com/assan-v3.6/classic-template/html/header-sticky-dark.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:42	43316/43316	---M-Z	200	added ('OK')	text/html	etag:%224ca5358-a934-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/header-sticky-light.html	bootstraplovers.com/assan-v3.6/classic-template/html/header-sticky-light.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:43	59108/59108	---M-Z	200	added ('OK')	text/html	etag:%224ca5351-e6e4-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/header-after-hero.html	bootstraplovers.com/assan-v3.6/classic-template/html/header-after-hero.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:43	42323/42323	---M-Z	200	added ('OK')	text/html	etag:%224ca534a-a553-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/footer-1.html	bootstraplovers.com/assan-v3.6/classic-template/html/footer-1.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:43	39288/39288	---M-Z	200	added ('OK')	text/html	etag:%224ca534b-9978-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/footer-2.html	bootstraplovers.com/assan-v3.6/classic-template/html/footer-2.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
